date_id,site_id,lat,lon,cqi,rsrp,sinr,score,status,timestamp,region
20250429,SITE-027,41.63665,-87.59841,15,-101.8,-1.9,57.4,warning,,Central
20250429,SITE-028,37.55804,-122.40001,5,-118.8,13.4,36.3,critical,,West
20250429,SITE-029,32.94701,-97.20815,3,-81.1,4.6,48.7,critical,,Texas
20250429,SITE-030,25.68738,-80.39969,12,-95.1,14,73.5,good,,Florida
20250429,SITE-031,40.52014,-74.41691,10,-88.3,0,56.4,warning,,Atlantic
20250429,SITE-032,41.69537,-88.02511,7,-98.3,15.2,59.2,warning,,Central
20250429,SITE-033,37.72008,-122.43843,15,-118.7,5.8,53.9,warning,,West
20250429,SITE-034,33.03068,-96.99744,8,-85.9,6.1,60.2,warning,,Texas
20250429,SITE-035,25.94411,-80.13586,13,-85.6,2.6,69.6,warning,,Florida
20250429,SITE-036,40.61769,-74.45357,5,-107.5,4.7,34.3,critical,,Atlantic
20250429,SITE-037,41.91231,-88.14665,10,-93.6,12.1,67,warning,,Central
20250429,SITE-038,37.46838,-122.6187,5,-99.7,4.8,40.3,critical,,West
20250429,SITE-039,31.97935,-96.76152,12,-92.9,14.2,75.4,good,,Texas
20250429,SITE-040,25.73877,-80.05269,12,-118.2,15.9,58.4,warning,,Florida
20250429,SITE-041,40.42534,-73.47055,3,-89.4,10.6,49.7,critical,,Atlantic
20250429,SITE-042,41.64611,-87.34142,8,-103.5,-3.6,35.4,critical,,Central
20250429,SITE-043,37.78285,-122.12708,7,-96.3,17.8,63.8,warning,,West
20250429,SITE-044,33.0112,-96.66053,8,-113.2,8.5,42.6,critical,,Texas
20250429,SITE-045,26.18897,-80.05549,9,-97.3,17.5,68,warning,,Florida
20250429,SITE-046,40.66455,-73.39212,12,-119.1,2.9,42.2,critical,,Atlantic
20250429,SITE-047,41.63885,-87.78078,4,-87.7,-2.5,37.9,critical,,Central
20250429,SITE-048,37.65182,-122.74202,11,-87.5,11.7,73.7,good,,West
20250429,SITE-049,32.90332,-96.50474,9,-111.9,10.9,49.2,critical,,Texas
20250429,SITE-050,25.87886,-80.21744,11,-111.4,1.6,43.7,critical,,Florida
20250429,SITE-051,40.59806,-73.5067,15,-111,13.6,69.1,warning,,Atlantic
20250429,SITE-052,42.36268,-87.20853,4,-96.3,1.8,36.6,critical,,Central
20250429,SITE-053,37.43739,-122.61895,9,-111.6,14.9,54.2,warning,,West
20250429,SITE-054,32.62921,-97.07324,15,-108,11.6,68.9,warning,,Texas
20250429,SITE-055,25.64141,-79.8104,7,-95,6.3,51,warning,,Florida
20250429,SITE-056,40.72877,-74.25757,3,-94.9,7.9,42.3,critical,,Atlantic
20250429,SITE-057,42.01508,-87.19628,13,-81.5,13.6,85.9,good,,Central
20250429,SITE-058,37.08399,-122.22739,11,-87.6,16.3,79.2,good,,West
20250429,SITE-059,33.36075,-97.3132,14,-94.9,8.1,71.9,good,,Texas
20250429,SITE-060,25.6501,-80.02146,5,-90.1,14.1,58.7,warning,,Florida
20250429,SITE-061,40.88468,-74.34726,4,-94.6,16.1,55,warning,,Atlantic
20250429,SITE-062,41.85189,-87.30262,5,-109.7,10,39.1,critical,,Central
20250429,SITE-063,37.65262,-122.30989,6,-118.9,14.9,40.7,critical,,West
20250429,SITE-064,32.64831,-96.36889,9,-103.1,17.6,63.8,warning,,Texas
20250429,SITE-065,25.83283,-79.887,3,-109.7,15.1,39.8,critical,,Florida
20250429,SITE-066,40.61147,-74.21502,3,-81.4,7.1,51.5,warning,,Atlantic
20250429,SITE-067,42.4679,-87.53091,4,-107.4,2.4,29,critical,,Central
20250429,SITE-068,38.46341,-122.03181,8,-93.1,17.1,68,warning,,West
20250429,SITE-069,32.31887,-96.33503,5,-110.6,9.3,37.5,critical,,Texas
20250429,SITE-070,25.60958,-80.19212,13,-86.8,18.7,88,good,,Florida
20250429,SITE-071,40.9205,-74.13303,4,-110.5,-1.9,21.5,critical,,Atlantic
20250429,SITE-072,41.9716,-87.96487,12,-90.5,15.1,78.2,good,,Central
20250429,SITE-073,37.74824,-123.35529,6,-114.2,-0.6,25.6,critical,,West
20250429,SITE-074,33.09375,-96.87785,7,-85.5,-3.6,46.2,critical,,Texas
20250429,SITE-075,25.30667,-80.3213,4,-107.3,5.6,32.9,critical,,Florida
