month_id,territory_id,sug_revenue,run_rate,take_rate_pct,aard_pct,return_rate_pct,ris_pct,month_name
202501,T-013,916905.11,10131106.55,70.58,22.11,2.98,89.18,Jan
202501,T-014,967650.47,9636015.83,62.51,24.79,3.64,89.09,Jan
202501,T-015,888936.4,9591287.43,62.13,26.31,4.27,86.14,Jan
202501,T-016,875041.48,11447499.68,64.81,26.65,3.09,90.7,Jan
202501,T-017,877453.14,10198380.94,62.22,26.79,3.71,88.3,Jan
202501,T-018,916882.2,8749999.55,58.64,27.24,4.22,87.08,Jan
202501,T-019,964900.26,10521605.2,62.49,25.91,4.26,86.46,Jan
202501,T-020,919044.13,9400696.18,49.81,32.52,5.03,83.76,Jan
202502,T-001,892195.89,11027614.9,66.23,25.39,3.11,90.1,Feb
202502,T-002,969686.11,10213853.05,64.4,26.28,4.23,88.05,Feb
202502,T-003,838317.01,10256367.84,56.96,27.01,5.14,86.07,Feb
202502,T-004,926651.29,11880970.16,64.93,26.66,4.03,88.41,Feb
202502,T-005,905968.75,10858480.43,65.61,26.48,4.45,89.03,Feb
202502,T-006,903919.28,11817334.24,63.81,24.69,3.54,90.26,Feb
202502,T-007,973927.46,12356698.63,59.38,28.57,4.4,83.79,Feb
202502,T-008,962848.41,11035447.99,63.23,31.02,4.25,85.42,Feb
202502,T-009,839862.51,11176757.33,69.94,18.95,2.47,94.44,Feb
202502,T-010,860187.32,11369046.6,69.95,23.65,2.86,91.29,Feb
202502,T-011,972956.45,10619399.26,64.31,24.71,4.13,88.16,Feb
202502,T-012,890201.1,9616748.66,59.46,27.86,4.04,85.01,Feb
202502,T-013,896915.73,10213974.4,68.48,19.18,3.14,90.22,Feb
202502,T-014,831794.06,10389501.79,65.45,23.71,3.78,91.09,Feb
202502,T-015,734086.62,10957024.98,57.7,27.47,4.29,87.84,Feb
202502,T-016,965587.79,10768945.89,62.61,25.66,3.37,90.46,Feb
202502,T-017,949518.32,10952033.65,63.05,24.67,3.99,90.42,Feb
202502,T-018,847127.19,11891744.63,60.18,27.76,4.62,87.56,Feb
202502,T-019,980374.58,12054337.37,59.83,25.95,3.93,85.83,Feb
202502,T-020,846668.17,10602033.05,51.2,30.48,5.27,81.32,Feb
202503,T-001,1007976.64,10483624.52,69.48,24.59,3.64,92.57,Mar
202503,T-002,811047.82,12662272.82,58.38,27.37,4.52,88.63,Mar
202503,T-003,843360.44,10032376.02,58.79,30.65,4.62,85.51,Mar
202503,T-004,975476.53,11070286.5,62.26,25.02,3.1,90.68,Mar
202503,T-005,963911.94,12018518.54,61.89,28.58,3.75,87.55,Mar
202503,T-006,838157.5,11006525.48,64.43,29.16,3.46,89.35,Mar
202503,T-007,877237.21,11978527.32,56.71,32.09,4.73,86.09,Mar
202503,T-008,815535.92,11234047.87,61.03,28.98,5.02,86.05,Mar
202503,T-009,896772.85,10647062.2,71.91,19.82,2.74,93.2,Mar
202503,T-010,861252.53,12535384.95,70.92,23.89,3.06,92.84,Mar
202503,T-011,923136.26,11295568.97,61.14,29.09,4.24,87.99,Mar
202503,T-012,879304.71,11492314.86,60.26,29.82,4.25,88.68,Mar
202503,T-013,949275.54,10418803.31,70.94,25.16,3.55,90.54,Mar
202503,T-014,974311.86,11192382.31,65.18,26.82,3.12,88.54,Mar
202503,T-015,829092.4,10308010.15,60.05,27.48,3.96,83.63,Mar
202503,T-016,914299.85,9961110.67,66.41,26.02,3.7,90.15,Mar
202503,T-017,938069.16,10667091.9,59.67,26.12,4.21,89.87,Mar
202503,T-018,965325.27,10463764.47,58,25.89,4.65,84.39,Mar
202503,T-019,916270.45,10128341.47,62.22,26.11,4.24,87.98,Mar
202503,T-020,932170.01,11179645.97,52.35,29.56,5.1,85.34,Mar
202504,T-001,846514.94,10312722.6,71.16,22.63,2.94,93.17,Apr
202504,T-002,859262.75,12333286.66,61.48,25.58,3.62,89.83,Apr
202504,T-003,909309.07,10845764.53,55.24,30.78,4.84,84.4,Apr
202504,T-004,843444.75,11273251.17,65.45,24.16,3.91,89.88,Apr
202504,T-005,995852.36,11134658.04,63.21,25.8,4.42,89.86,Apr
202504,T-006,1026592.27,9831596.3,66.07,25.98,3.6,91.54,Apr
202504,T-007,909861.31,10530152.16,55.7,29.45,4.66,82.6,Apr
202504,T-008,870985.26,12937680.34,54.93,30.7,4.53,87.43,Apr
202504,T-009,931709.93,10658860.11,79.39,21.61,3.08,93.62,Apr
202504,T-010,888130.42,9518704.3,67.78,25.31,3.25,91.34,Apr
202504,T-011,861364.3,10678191.03,62.09,25.61,4.46,88.29,Apr
202504,T-012,945917.87,11797438.47,59.33,26.69,4.89,91.42,Apr
202504,T-013,892263.84,11159824.1,67.52,23.69,2.96,87.63,Apr
202504,T-014,1000789.15,11640712.81,67.71,25.83,3.7,88.41,Apr
202504,T-015,940221.17,9951176.61,58.76,26.66,4.49,87.64,Apr
202504,T-016,813483.82,10251382.39,69.71,25.76,3.08,91.8,Apr
202504,T-017,1052741.81,9818784.76,59.59,27.3,4.22,88.76,Apr
202504,T-018,900818.9,8609747.88,61.3,27.73,4.38,87.11,Apr
202504,T-019,904741.94,9649596.89,63.92,27.59,4.17,86.57,Apr
202504,T-020,914185.41,11281986.91,51.43,34.17,4.95,84.28,Apr
