date_id,date,outlet_id,territory_id,device_id,sug_sales_units,eligible_device_units,sug_sales_revenue,accessory_revenue,return_units,passing_surveys,total_surveys
20250420,2025-04-20,OUT-001,T-001,DEV-006,209,333,37314.96,10720.95,6,123,148
20250421,2025-04-21,OUT-001,T-001,DEV-008,260,370,39680.72,10806.85,10,179,214
20250422,2025-04-22,OUT-001,T-001,DEV-007,353,524,56515.74,15885.57,12,185,208
20250423,2025-04-23,OUT-001,T-001,DEV-001,269,425,49671.59,12960.69,12,191,219
20250424,2025-04-24,OUT-001,T-001,DEV-003,351,538,62063.08,15969.53,12,180,210
20250425,2025-04-25,OUT-001,T-001,DEV-006,322,462,57643.71,15526.28,7,177,212
20250426,2025-04-26,OUT-001,T-001,DEV-002,247,353,37296.17,10339.33,8,129,141
20250427,2025-04-27,OUT-001,T-001,DEV-005,178,267,34608.21,8866.16,7,119,150
20250428,2025-04-28,OUT-001,T-001,DEV-004,329,467,55531.2,14190.34,10,181,210
20250429,2025-04-29,OUT-001,T-001,DEV-003,265,397,49563.77,14687.39,10,181,227
20250130,2025-01-30,OUT-011,T-005,DEV-008,272,421,46381.21,12169.68,12,154,197
20250131,2025-01-31,OUT-011,T-005,DEV-001,287,495,55542.33,15994.71,10,163,185
20250201,2025-02-01,OUT-011,T-005,DEV-005,224,371,33349.61,9291.06,6,110,123
20250202,2025-02-02,OUT-011,T-005,DEV-006,182,296,36022.71,9327.57,6,106,126
20250203,2025-02-03,OUT-011,T-005,DEV-005,303,538,51668.13,14856.3,12,148,192
20250204,2025-02-04,OUT-011,T-005,DEV-003,267,464,48280.77,13495.51,9,155,186
20250205,2025-02-05,OUT-011,T-005,DEV-005,258,436,51348.02,14343.18,10,154,185
20250206,2025-02-06,OUT-011,T-005,DEV-001,231,380,52721.31,13745.1,6,152,187
20250207,2025-02-07,OUT-011,T-005,DEV-002,255,450,45593.76,11828.65,15,156,192
20250208,2025-02-08,OUT-011,T-005,DEV-007,189,292,34211.11,9949.01,6,102,123
20250209,2025-02-09,OUT-011,T-005,DEV-004,173,260,28248.65,8169.35,9,114,135
20250210,2025-02-10,OUT-011,T-005,DEV-004,269,460,38003.88,10926.36,10,162,195
20250211,2025-02-11,OUT-011,T-005,DEV-003,234,406,41927.41,12067.14,8,153,191
20250212,2025-02-12,OUT-011,T-005,DEV-001,259,454,50082.22,14840.69,17,150,191
20250213,2025-02-13,OUT-011,T-005,DEV-004,321,548,55324.8,14236.72,13,163,197
20250214,2025-02-14,OUT-011,T-005,DEV-002,293,476,50200.11,13866.06,13,158,183
20250215,2025-02-15,OUT-011,T-005,DEV-008,181,312,32145.04,7998.65,6,107,127
20250216,2025-02-16,OUT-011,T-005,DEV-006,188,310,35455.51,9180.3,10,103,132
20250217,2025-02-17,OUT-011,T-005,DEV-004,266,435,49837.68,13224.23,13,163,190
20250218,2025-02-18,OUT-011,T-005,DEV-003,269,443,48913,12126.81,9,165,198
20250219,2025-02-19,OUT-011,T-005,DEV-006,264,445,49304.76,14307,9,166,193
20250220,2025-02-20,OUT-011,T-005,DEV-002,288,474,50669.86,14109.72,11,161,198
20250221,2025-02-21,OUT-011,T-005,DEV-007,262,469,51814.93,14880.99,7,156,191
20250222,2025-02-22,OUT-011,T-005,DEV-003,200,347,40151.58,11754.9,12,108,136
20250223,2025-02-23,OUT-011,T-005,DEV-001,220,393,36378.47,9578.98,10,107,134
20250224,2025-02-24,OUT-011,T-005,DEV-001,309,555,48412,11894.21,16,167,199
20250225,2025-02-25,OUT-011,T-005,DEV-002,309,509,44826.59,12534.58,14,157,194
20250226,2025-02-26,OUT-011,T-005,DEV-004,308,526,48889.69,12242.5,14,162,202
20250227,2025-02-27,OUT-011,T-005,DEV-004,298,489,56918.24,16309.06,12,172,202
20250228,2025-02-28,OUT-011,T-005,DEV-007,288,512,50871.42,13509.18,11,164,198
20250301,2025-03-01,OUT-011,T-005,DEV-006,221,382,31795.49,8144.07,12,106,131
20250302,2025-03-02,OUT-011,T-005,DEV-003,212,358,32211.92,8750.45,10,114,143
20250303,2025-03-03,OUT-011,T-005,DEV-002,344,584,44035.61,12133.11,16,164,191
20250304,2025-03-04,OUT-011,T-005,DEV-008,334,531,53570.18,14877.59,10,168,199
20250305,2025-03-05,OUT-011,T-005,DEV-005,292,479,54052.18,14161.93,10,169,202
20250306,2025-03-06,OUT-011,T-005,DEV-002,307,497,54446.02,14590.8,11,156,197
20250307,2025-03-07,OUT-011,T-005,DEV-006,270,470,54248.69,15988.01,10,156,203
20250308,2025-03-08,OUT-011,T-005,DEV-001,161,276,38709.65,10324.98,9,109,135
20250309,2025-03-09,OUT-011,T-005,DEV-001,214,353,32865.1,8103.19,6,118,140
20250310,2025-03-10,OUT-011,T-005,DEV-003,328,546,49362.07,12371.97,17,158,211
20250311,2025-03-11,OUT-011,T-005,DEV-005,265,422,49534.68,12915.56,10,171,207
20250312,2025-03-12,OUT-011,T-005,DEV-007,266,457,64698.97,16800.95,11,170,200
20250313,2025-03-13,OUT-011,T-005,DEV-005,280,485,51305.37,14602.91,11,171,193
20250314,2025-03-14,OUT-011,T-005,DEV-007,301,518,54846.7,15379.76,14,159,194
20250315,2025-03-15,OUT-011,T-005,DEV-008,203,314,34638.17,9883.14,6,113,141
20250316,2025-03-16,OUT-011,T-005,DEV-008,194,332,39811.01,10495.02,9,100,135
20250317,2025-03-17,OUT-011,T-005,DEV-008,258,446,54448.37,13532.59,9,172,195
20250318,2025-03-18,OUT-011,T-005,DEV-003,354,579,49795.89,14548.73,14,171,193
20250319,2025-03-19,OUT-011,T-005,DEV-007,291,485,55478.61,13565.75,12,176,199
20250320,2025-03-20,OUT-011,T-005,DEV-008,265,449,47057.96,13227.94,10,167,204
20250321,2025-03-21,OUT-011,T-005,DEV-007,305,542,54505.06,14131.1,14,173,205
20250322,2025-03-22,OUT-011,T-005,DEV-001,192,323,36018.38,10150.03,6,114,139
20250323,2025-03-23,OUT-011,T-005,DEV-006,231,395,32890.49,8893.45,10,121,138
20250324,2025-03-24,OUT-011,T-005,DEV-005,310,514,48057.35,11853.26,12,169,212
20250325,2025-03-25,OUT-011,T-005,DEV-006,321,536,56429.36,14245.86,13,170,199
20250326,2025-03-26,OUT-011,T-005,DEV-008,265,459,49900.9,14257.68,12,172,202
20250327,2025-03-27,OUT-011,T-005,DEV-001,323,565,50421.36,13224.34,13,171,196
20250328,2025-03-28,OUT-011,T-005,DEV-008,323,519,51001.79,15075.17,12,164,206
20250329,2025-03-29,OUT-011,T-005,DEV-002,189,314,38661.11,9771.39,11,115,142
20250330,2025-03-30,OUT-011,T-005,DEV-003,223,354,34362.98,8428.8,7,119,137
20250331,2025-03-31,OUT-011,T-005,DEV-002,303,550,55813.05,15108.96,11,170,204
20250401,2025-04-01,OUT-011,T-005,DEV-003,311,540,60714.73,15954.72,15,166,211
20250402,2025-04-02,OUT-011,T-005,DEV-002,279,480,47258.14,12499.49,11,168,204
20250403,2025-04-03,OUT-011,T-005,DEV-002,335,551,57938.96,15475.42,16,175,207
20250404,2025-04-04,OUT-011,T-005,DEV-008,297,519,57018.59,16926.09,15,176,196
20250405,2025-04-05,OUT-011,T-005,DEV-005,200,359,40238.71,11324.69,6,123,138
20250406,2025-04-06,OUT-011,T-005,DEV-003,190,323,36837.67,9669.46,10,111,139
20250407,2025-04-07,OUT-011,T-005,DEV-007,305,536,55131.77,14962.08,13,173,199
20250408,2025-04-08,OUT-011,T-005,DEV-006,337,577,63460.69,17310.2,17,165,204
20250409,2025-04-09,OUT-011,T-005,DEV-003,325,583,56563.41,16599.99,15,174,221
20250410,2025-04-10,OUT-011,T-005,DEV-005,308,533,49452.15,13441.48,14,170,209
20250411,2025-04-11,OUT-011,T-005,DEV-006,297,507,55502.99,15960.59,11,174,210
20250412,2025-04-12,OUT-011,T-005,DEV-007,184,313,33673.85,9799.29,8,111,141
20250413,2025-04-13,OUT-011,T-005,DEV-008,219,387,35486.88,9465.72,10,114,143
20250414,2025-04-14,OUT-011,T-005,DEV-006,288,501,50312.52,13232.65,12,169,209
20250415,2025-04-15,OUT-011,T-005,DEV-005,318,550,49966.61,13270.1,12,184,208
20250416,2025-04-16,OUT-011,T-005,DEV-003,248,416,57503.98,15522.22,11,174,212
20250417,2025-04-17,OUT-011,T-005,DEV-006,300,527,58528.52,16110.91,13,178,205
20250418,2025-04-18,OUT-011,T-005,DEV-005,317,540,53488.47,14054.66,10,169,216
20250419,2025-04-19,OUT-011,T-005,DEV-005,238,417,37823.89,10439.26,7,120,146
20250420,2025-04-20,OUT-011,T-005,DEV-003,251,420,30292.28,8179.04,13,121,145
20250421,2025-04-21,OUT-011,T-005,DEV-003,343,550,51298.54,12915.69,17,183,212
20250422,2025-04-22,OUT-011,T-005,DEV-005,333,582,52665.59,13739.76,14,179,216
20250423,2025-04-23,OUT-011,T-005,DEV-008,366,646,50563.1,14940.94,19,172,211
20250424,2025-04-24,OUT-011,T-005,DEV-007,324,532,58936.23,14421.98,16,178,213
20250425,2025-04-25,OUT-011,T-005,DEV-007,324,543,58005.54,15572.56,13,181,207
20250426,2025-04-26,OUT-011,T-005,DEV-008,186,287,35831.86,9042.24,8,124,143
20250427,2025-04-27,OUT-011,T-005,DEV-005,234,402,33677.56,8631.96,9,117,144
20250428,2025-04-28,OUT-011,T-005,DEV-008,316,524,58087.07,17043.9,15,178,211
20250429,2025-04-29,OUT-011,T-005,DEV-006,356,565,59319.12,15344.93,14,175,223
20250130,2025-01-30,OUT-021,T-009,DEV-004,307,428,45539.44,12448.16,7,167,192
20250131,2025-01-31,OUT-021,T-009,DEV-004,265,390,47902.52,12709.41,6,167,188
20250201,2025-02-01,OUT-021,T-009,DEV-007,185,239,32774.1,8806,1,109,122
20250202,2025-02-02,OUT-021,T-009,DEV-004,207,289,32267.46,9473.09,5,116,128
20250203,2025-02-03,OUT-021,T-009,DEV-007,262,417,50136,14210.86,6,171,188
20250204,2025-02-04,OUT-021,T-009,DEV-006,280,376,51659.2,14068.78,13,156,191
20250205,2025-02-05,OUT-021,T-009,DEV-003,261,366,51121.7,14406.32,4,173,192
20250206,2025-02-06,OUT-021,T-009,DEV-007,325,460,46813.78,11595.02,6,167,189
20250207,2025-02-07,OUT-021,T-009,DEV-004,304,417,50847.07,13260.9,8,163,189
20250208,2025-02-08,OUT-021,T-009,DEV-008,216,292,32891.9,8885.29,7,121,126
20250209,2025-02-09,OUT-021,T-009,DEV-004,199,290,32613.77,8194.93,6,115,124
20250210,2025-02-10,OUT-021,T-009,DEV-004,301,409,44360.11,12206.75,5,171,187
20250211,2025-02-11,OUT-021,T-009,DEV-004,279,396,45065.22,11749.33,7,167,193
20250212,2025-02-12,OUT-021,T-009,DEV-001,321,452,50428.02,13497.92,9,175,195
20250213,2025-02-13,OUT-021,T-009,DEV-004,253,331,51299.52,13420.19,6,185,200
20250214,2025-02-14,OUT-021,T-009,DEV-007,281,402,50497.99,14020.38,8,169,181
20250215,2025-02-15,OUT-021,T-009,DEV-007,224,282,29287.96,8163.63,8,109,130
20250216,2025-02-16,OUT-021,T-009,DEV-004,202,284,32464.18,9604.16,2,108,134
20250217,2025-02-17,OUT-021,T-009,DEV-003,304,419,45731.44,12903.19,13,178,201
20250218,2025-02-18,OUT-021,T-009,DEV-004,308,447,43239.25,11549.54,9,167,186
20250219,2025-02-19,OUT-021,T-009,DEV-001,298,418,49481,12649.56,13,178,192
20250220,2025-02-20,OUT-021,T-009,DEV-003,264,390,43236.3,11471.99,7,171,202
20250221,2025-02-21,OUT-021,T-009,DEV-008,273,389,43934.63,12202.36,7,168,200
20250222,2025-02-22,OUT-021,T-009,DEV-008,183,252,32812.01,9492.75,6,121,138
20250223,2025-02-23,OUT-021,T-009,DEV-007,206,277,36533.75,10153.54,7,126,129
20250224,2025-02-24,OUT-021,T-009,DEV-001,317,448,55371.09,15732.68,7,172,190
20250225,2025-02-25,OUT-021,T-009,DEV-001,308,404,41555.35,11761.81,9,173,189
20250226,2025-02-26,OUT-021,T-009,DEV-004,265,365,55458,14616.27,6,169,196
20250227,2025-02-27,OUT-021,T-009,DEV-008,322,449,49653.21,12610.37,7,173,199
20250228,2025-02-28,OUT-021,T-009,DEV-007,260,378,54597.18,13945.27,8,171,196
20250301,2025-03-01,OUT-021,T-009,DEV-008,192,265,27637.49,7448.09,4,123,142
20250302,2025-03-02,OUT-021,T-009,DEV-001,224,279,36365.12,8982.69,5,119,133
20250303,2025-03-03,OUT-021,T-009,DEV-003,292,420,52582.17,13837.15,8,169,194
20250304,2025-03-04,OUT-021,T-009,DEV-007,273,393,46788.44,12063.74,7,176,199
20250305,2025-03-05,OUT-021,T-009,DEV-002,247,380,52880.86,13538.15,6,173,197
20250306,2025-03-06,OUT-021,T-009,DEV-008,337,476,45947.48,11725.63,6,172,191
20250307,2025-03-07,OUT-021,T-009,DEV-007,250,349,45853.36,12719.01,8,175,198
20250308,2025-03-08,OUT-021,T-009,DEV-002,191,256,36780.75,9394.08,2,126,131
20250309,2025-03-09,OUT-021,T-009,DEV-005,191,294,32412.46,7933.81,3,124,134
20250310,2025-03-10,OUT-021,T-009,DEV-007,280,411,56274.83,15388.56,7,168,197
20250311,2025-03-11,OUT-021,T-009,DEV-002,272,340,48539.68,11935.89,7,168,205
20250312,2025-03-12,OUT-021,T-009,DEV-006,334,492,47034.31,13950.36,9,173,201
20250313,2025-03-13,OUT-021,T-009,DEV-002,280,398,55239.74,14158.4,6,181,203
20250314,2025-03-14,OUT-021,T-009,DEV-006,334,473,45662.82,11856.19,9,175,205
20250315,2025-03-15,OUT-021,T-009,DEV-007,213,290,36051.31,9839.41,6,114,132
20250316,2025-03-16,OUT-021,T-009,DEV-004,205,266,35143.03,9262.28,5,124,141
20250317,2025-03-17,OUT-021,T-009,DEV-008,301,411,49767.48,14631.04,6,177,197
20250318,2025-03-18,OUT-021,T-009,DEV-007,280,389,47862.82,13708.87,10,177,207
20250319,2025-03-19,OUT-021,T-009,DEV-006,251,350,54853.23,14748.2,5,181,208
20250320,2025-03-20,OUT-021,T-009,DEV-004,330,450,48583.23,13867.44,10,172,212
20250321,2025-03-21,OUT-021,T-009,DEV-001,396,568,56182.75,15801.5,10,176,205
20250322,2025-03-22,OUT-021,T-009,DEV-008,168,250,33234.1,8529.36,6,125,143
20250323,2025-03-23,OUT-021,T-009,DEV-007,215,285,32893.85,8631.83,5,127,135
20250324,2025-03-24,OUT-021,T-009,DEV-006,286,421,50640.04,13845.69,10,176,199
20250325,2025-03-25,OUT-021,T-009,DEV-002,295,420,55685.24,15091.54,10,175,202
20250326,2025-03-26,OUT-021,T-009,DEV-003,305,441,47894.57,11908.78,9,170,212
20250327,2025-03-27,OUT-021,T-009,DEV-008,349,497,59716.74,15634.33,7,188,210
20250328,2025-03-28,OUT-021,T-009,DEV-001,309,458,50556.49,14133.85,6,189,218
20250329,2025-03-29,OUT-021,T-009,DEV-008,223,314,35549.68,8992.66,8,120,136
20250330,2025-03-30,OUT-021,T-009,DEV-007,218,307,39545.89,10204.05,5,121,132
20250331,2025-03-31,OUT-021,T-009,DEV-004,281,380,45408.7,13149.56,8,175,205
20250401,2025-04-01,OUT-021,T-009,DEV-008,281,379,47469.89,13344.89,5,180,213
20250402,2025-04-02,OUT-021,T-009,DEV-003,316,446,54484.05,14382.54,9,177,203
20250403,2025-04-03,OUT-021,T-009,DEV-003,318,413,48059.76,12042.62,8,181,212
20250404,2025-04-04,OUT-021,T-009,DEV-007,315,460,56510.49,15242.48,8,181,203
20250405,2025-04-05,OUT-021,T-009,DEV-004,191,268,37673.13,10248.25,6,127,146
20250406,2025-04-06,OUT-021,T-009,DEV-002,176,245,35631.97,10565.17,7,116,139
20250407,2025-04-07,OUT-021,T-009,DEV-004,283,385,53122.4,14198.85,15,178,216
20250408,2025-04-08,OUT-021,T-009,DEV-006,337,489,39825.62,10598.43,7,177,203
20250409,2025-04-09,OUT-021,T-009,DEV-003,260,352,56072.11,14501.59,10,183,219
20250410,2025-04-10,OUT-021,T-009,DEV-007,312,479,59678.3,17296,5,191,217
20250411,2025-04-11,OUT-021,T-009,DEV-007,345,499,53126.15,13680.55,10,180,213
20250412,2025-04-12,OUT-021,T-009,DEV-005,185,258,32019.95,8567.05,1,119,143
20250413,2025-04-13,OUT-021,T-009,DEV-006,191,285,40188.87,10629.02,2,135,141
20250414,2025-04-14,OUT-021,T-009,DEV-003,318,427,49405.91,12922.71,7,185,209
20250415,2025-04-15,OUT-021,T-009,DEV-003,340,471,59713.9,17599.7,9,188,218
20250416,2025-04-16,OUT-021,T-009,DEV-005,351,505,57835.08,14311.33,10,182,205
20250417,2025-04-17,OUT-021,T-009,DEV-007,316,447,59470.38,14454.79,6,184,212
20250418,2025-04-18,OUT-021,T-009,DEV-002,354,530,54621.23,13662.82,9,191,214
20250419,2025-04-19,OUT-021,T-009,DEV-003,213,269,36337.31,10545.92,8,122,138
20250420,2025-04-20,OUT-021,T-009,DEV-006,221,308,40121.51,10077.49,3,121,148
20250421,2025-04-21,OUT-021,T-009,DEV-007,309,441,55049.39,15728.61,10,187,220
20250422,2025-04-22,OUT-021,T-009,DEV-001,348,501,53974.13,13994.9,7,182,212
20250423,2025-04-23,OUT-021,T-009,DEV-004,294,431,53924.99,14558.53,8,183,210
20250424,2025-04-24,OUT-021,T-009,DEV-007,302,425,67178.16,19091.17,10,196,211
20250425,2025-04-25,OUT-021,T-009,DEV-001,318,453,55797.27,14421.94,8,186,205
20250426,2025-04-26,OUT-021,T-009,DEV-003,219,306,34087.42,9224.41,7,131,154
20250427,2025-04-27,OUT-021,T-009,DEV-002,203,282,33918.11,9988.38,7,128,149
20250428,2025-04-28,OUT-021,T-009,DEV-003,309,443,56336.94,15823.98,10,195,225
20250429,2025-04-29,OUT-021,T-009,DEV-003,307,435,46565.1,13158.3,4,197,222
20250130,2025-01-30,OUT-031,T-013,DEV-002,302,438,45843.07,11277.11,10,163,187
20250131,2025-01-31,OUT-031,T-013,DEV-002,311,497,51868.29,12727.34,12,164,187
20250201,2025-02-01,OUT-031,T-013,DEV-001,203,289,30099.03,8517.9,4,106,131
20250202,2025-02-02,OUT-031,T-013,DEV-006,206,318,29015.5,7133.3,8,111,135
20250203,2025-02-03,OUT-031,T-013,DEV-005,281,451,52193.03,12705.37,11,164,197
20250204,2025-02-04,OUT-031,T-013,DEV-008,316,472,46490.28,13135.97,10,154,188
20250205,2025-02-05,OUT-031,T-013,DEV-001,330,518,53911.71,15014.11,10,168,185
20250206,2025-02-06,OUT-031,T-013,DEV-001,307,462,52447.66,13537.3,9,167,192
20250207,2025-02-07,OUT-031,T-013,DEV-002,258,398,50935.76,14130.07,7,158,196
20250208,2025-02-08,OUT-031,T-013,DEV-006,205,319,36836.31,10606.01,5,109,135
20250209,2025-02-09,OUT-031,T-013,DEV-002,240,369,33810.04,9066.74,8,106,134
20250210,2025-02-10,OUT-031,T-013,DEV-002,284,434,51497.84,13359.96,11,162,186
20250211,2025-02-11,OUT-031,T-013,DEV-006,340,518,50613.55,13115.86,11,166,190
20250212,2025-02-12,OUT-031,T-013,DEV-002,268,381,56584.4,14177.15,9,174,194
20250213,2025-02-13,OUT-031,T-013,DEV-002,280,431,51156.75,14676.27,8,167,194
20250214,2025-02-14,OUT-031,T-013,DEV-006,278,441,52702.42,12950.8,12,170,191
20250215,2025-02-15,OUT-031,T-013,DEV-006,178,259,32901.69,8492.33,7,113,131
20250216,2025-02-16,OUT-031,T-013,DEV-008,191,285,31937.66,7997.53,6,116,142
20250217,2025-02-17,OUT-031,T-013,DEV-007,273,435,43573.3,11869.54,7,155,196
20250218,2025-02-18,OUT-031,T-013,DEV-004,291,454,45288.97,11692.27,10,168,190
20250219,2025-02-19,OUT-031,T-013,DEV-004,317,474,46030.09,13214.29,9,168,194
20250220,2025-02-20,OUT-031,T-013,DEV-006,281,473,52415.37,13228.61,7,167,200
20250221,2025-02-21,OUT-031,T-013,DEV-006,260,395,49293.13,13477.13,7,172,210
20250222,2025-02-22,OUT-031,T-013,DEV-002,188,284,36176.95,8829.93,6,109,134
20250223,2025-02-23,OUT-031,T-013,DEV-006,178,268,29966.01,8422.05,6,115,135
